Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Naive_Bayes,0.7943262411347518,0.7727272727272727,0.7846153846153846,0.7786259541984732,0.8485829959514171
Logistic_Regression,0.7801418439716312,0.7428571428571429,0.8,0.7703703703703704,0.8508097165991904
SVM,0.7659574468085106,0.7424242424242424,0.7538461538461538,0.7480916030534351,0.8362348178137652
KNN,0.7446808510638298,0.7164179104477612,0.7384615384615385,0.7272727272727273,0.7993927125506073
Random_Forest,0.7375886524822695,0.71875,0.7076923076923077,0.7131782945736435,0.8230769230769232
Decision_Tree,0.723404255319149,0.7096774193548387,0.676923076923077,0.6929133858267716,0.7200404858299596
Gradient_Boosting,0.723404255319149,0.696969696969697,0.7076923076923077,0.7022900763358778,0.8064777327935223
